Payment_Behavior_!@9#%8,Payment_Behavior_High_spent_Large_value_payments,Payment_Behavior_High_spent_Medium_value_payments,Payment_Behavior_High_spent_Small_value_payments,Payment_Behavior_Low_spent_Large_value_payments,Payment_Behavior_Low_spent_Medium_value_payments,Payment_Behavior_Low_spent_Small_value_payments,Credit_Mix_Bad,Credit_Mix_Good,Credit_Mix_Standard,Credit_Mix__,and auto loan,and credit-builder loan,and debt consolidation loan,and home equity loan,and mortgage loan,and not specified,and payday loan,and personal loan,and student loan,auto loan,credit-builder loan,debt consolidation loan,home equity loan,mortgage loan,not specified,payday loan,personal loan,student loan,Payment_of_Min_Amount_NM,Payment_of_Min_Amount_No,Payment_of_Min_Amount_Yes,Occupation_Accountant,Occupation_Architect,Occupation_Developer,Occupation_Doctor,Occupation_Engineer,Occupation_Entrepreneur,Occupation_Journalist,Occupation_Lawyer,Occupation_Manager,Occupation_Mechanic,Occupation_Media_Manager,Occupation_Musician,Occupation_Scientist,Occupation_Teacher,Occupation_Writer,Occupation________,Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Credit_Score
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,55.0,39487.82,3333.651666666666,7,4,20,1.0,15,17.0,3.48,0.0,347.3,41.64692973193706,19.11904761904762,25.66413570401525,86.59552508626085,471.1055058763905,2
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40.0,20524.7,1791.3916666666669,9,10,24,9.0,30,24.0,8.86,9.0,4021.94,28.753194724666194,19.11904761904762,79.79906572624873,21.18016071776152,328.1599402226564,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,45.0,30592.38,2583.365,6,7,8,0.0,11,19.0,0.58,2.0,1288.12,24.505693592032685,19.11904761904762,0.0,49.052421221769,449.2840787782311,2
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,87502.04999999999,7589.837499999999,4,3,10,4.0,29,15.0,9.42,3.0,1291.41,33.114758284795435,19.11904761904762,227.42907864610268,693.2610521457929,108.29361920810436,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31.0,95187.6,7912.3,4,7,15,0.0,10,15.0,3.29,2.0,1249.88,43.772977310673696,19.11904761904762,0.0,196.82018798209,838.7394102752737,2
0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30.0,58224.1,4676.008333333333,2,2,11,2.0,7,2.0,1.21,2.0,728.5,24.12103532247685,19.11904761904762,29974.0,218.95136821306733,455.7059719055978,2
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,63839.24,5192.9366666666665,7,6,14,3.0,30,16.0,14.01,7.0,2695.33,37.27076436574745,19.11904761904762,144.70962574659617,173.86105703158265,450.01500979154616,2
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,43.0,36127.64,2722.6366666666668,2,5,2,-100.0,6,7.0,2.8,1.0,770.1,30.56037106625412,19.11904761904762,0.0,62.442435332225045,449.8212313344416,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.0,7632.555,476.04625,7,8,5452,6.0,14,10.0,22.26,7.0,1401.9,29.1643118972634,19.11904761904762,34.929163470060885,12.524733410478834,259.0400293081148,1
0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,55209.81,4303.8175,5,3,23,7.0,28,12.0,9.41,6.0,1922.82,26.32273239322627,19.11904761904762,231.9278112182,122.87830010605236,325.57563867574765,1
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23.0,87939.04,7343.253333333332,2,4,11,2.0,8,7.0,5.98,4.0,320.89,43.20183775022444,19.11904761904762,74.00774815976222,97.45874941565836,812.8588357579129,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37.0,21578.575,1499.2145833333334,1,3,4,1.0,4,0.0,6.55,4.0,881.05,34.118147941088694,19.11904761904762,11.614217137193789,18.187517890263408,360.11972330587616,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38.0,15724.73,1194.3941666666667,5,8,18,6.0,18,18.0,16.43,10.0,1653.25,29.385699247714967,19.11904761904762,49.56535093647793,17.058778503538868,292.81528722664984,1
0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,39.0,82134.44,6671.536666666668,10,5,24,9.0,39,21.0,4.55,10.0,1332.6,23.240184352821743,19.11904761904762,317.4441995582799,394.2083795379057,215.501087570481,2
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.0,8627.12,473.92666666666673,10,5,34,8.0,17,18.0,0.9800000000000004,12.0,4578.85,30.930985262835367,19.11904761904762,57.01333504384017,28.474585366271143,221.90474625655537,2
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,45.0,17092.69,1695.3908333333331,7,3,19,7.0,17,14.0,16.4,8.0,1417.06,29.598580075893523,19.11904761904762,62.79425951657174,30.131476866490026,316.6133469502716,2
0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30.0,32426.78,2999.231666666666,6,5,2,2.0,29,13.0,-0.5899999999999999,1.0,1080.61,29.416596828561524,19.11904761904762,32.36628525654384,354.5523648659375,203.0045165441853,0
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.0,35374.6,3159.883333333333,3,6,25,2.0,12,10.0,9.6,6.0,2303.35,30.13345489181319,19.11904761904762,29.49308118700687,110.53743567823156,445.9578164680949,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20.0,22558.95,1991.9125,4,5,11,4.0,6,11.0,17.74,2.0,141.14,29.59243989071773,19.11904761904762,64.30119007088052,53.59830407132421,331.2917558577953,2
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22.0,22320.325,1966.0270833333327,0,7,9,3.0,21,2.0,-2.37,4.0,983.12,34.875191324925424,19.11904761904762,40.92697967874924,47.71767177733582,347.9580568772483,1
0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32.0,97338.21,8220.517499999998,8,6,16,4.0,10,9.0,11.68,2.0,1052.21,38.31087884315558,19.11904761904762,303.9831414115728,478.5158764758052,309.55273211262187,2
0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43.0,17693.34,1442.445,3,7,15,2.0,13,9.0,12.08,6.0,1405.95,24.46674934742063,19.11904761904762,25.28897055046329,49.745982661814026,359.2095467877228,1
0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22.0,19958.32,1411.1933333333334,6,7,26,-100.0,52,24.0,1.9,6.0,4753.48,27.31946951419888,19.11904761904762,94.81042935216465,65.67138874270694,270.6375152384618,1
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0,19711.14,1490.595,1,4,11,1.0,2,12.0,4.23,2.0,334.63,26.37702076251601,19.11904761904762,14.424565757578272,160.97539899528118,263.6595352471405,2
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31.0,71983.5,5966.625,5,6,18,4.0,16,8.0,19.41,0.0,519.33,29.718129354244013,19.11904761904762,230.1068159930957,185.93099894425328,430.624685062651,2
0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,60558.63,4948.5525,3,3,13,3.0,30,14.0,19.44,7.0,1151.07,35.51981246335837,19.11904761904762,114.91056051212396,67.57267137507549,562.3720181128006,2
0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,116346.93,9814.5775,0,3,9,3.0,3,8.0,6.23,1.0,115.22,38.72775453786932,19.11904761904762,183.00131988340425,210.1240399884116,828.3323901281842,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.0,17963.45,1328.9541666666669,6,7,17,2.0,61,15.0,8.75,10.0,2052.02,37.28628491401784,19.11904761904762,23.01331426191241,69.10665155006313,330.7754508546912,1
0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,43.0,142204.08,12141.339999999998,6,7,17,4.0,21,11.0,1.4300000000000002,3.0,1259.66,37.8232846382916,19.11904761904762,250.40888139736407,943.0375830257044,300.6875355769314,2
0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30.0,49854.92,4216.576666666667,8,3,17,3.0,7,12.0,8.07,4.0,1044.78,24.852162527511386,19.11904761904762,62.83164834944265,370.66140871127647,258.1646096059476,2
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33.0,7363.13,695.5941666666665,10,9,16,8.0,26,24.0,-5.29,12.0,3599.87,40.07303694775678,19.11904761904762,42.202970028570135,61.105409223750094,246.25103741434648,2
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42.0,36151.31,2868.609166666666,1,3,12,3.0,3,7.0,2.5,3.0,563.28,29.19653220803457,19.11904761904762,54.78797361796784,355.89010463574334,166.1828384129555,2
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24.0,7567.595,809.6329166666667,10,5,20,5.0,48,19.0,22.65,11.0,4693.94,38.15743635398349,19.11904761904762,27.519588144245198,19.612922595708856,303.83078092671263,2
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,54.0,28730.94,2611.245,5,3,5,0.0,10,8.0,11.73,2.0,1292.55,32.73064463618764,19.11904761904762,73070.0,58.81778182599969,462.3067181740003,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42.0,18202.235,1259.8529166666667,2,2,3,0.0,7,6.0,1.78,3.0,1346.83,30.560982883888144,19.11904761904762,0.0,33.88541800476177,362.0998736619049,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37.0,8944.07,781.3391666666665,6,10,22,7.0,30,22.0,23.11,7.0,4405.04,39.54167651872144,19.11904761904762,43.78268756585749,89.69768613298702,234.6535429678221,2
0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,34849.62,3202.135,3,5,2,2.0,12,5.0,10.76,3.0,1181.0,34.1920533497819,19.11904761904762,53.7435865621091,170.51974203350653,375.9501714043844,0
0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,46152.92,4058.0766666666655,3,3,7,4.0,9,8.0,10.99,8.0,1294.2,37.05686542536508,19.11904761904762,147.96378292755728,483.2080246010384,64.635859138071,2
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38.0,133779.72,10995.31,0,5,2,1.0,8,0.0,8.06,2.0,891.64,36.53607295382116,19.11904761904762,92.93776255623916,213.13485629768465,1033.458381146076,0
0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0,15898.59,1059.8825,8,6,15,6.0,26,18.0,22.17,9.0,2552.86,31.730229283636117,19.11904761904762,72.01043750385405,101.37088038598344,212.6069321101625,2
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0,78039.48,6236.29,5,504,4,4.0,21,16.0,2.59,1.0,1188.91,24.034306099014746,19.11904761904762,236.23961596593352,155.0904350665836,472.2989489674829,0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44.0,14638.54,1134.878333333333,6,9,17,8.0,48,19.0,26.3,9.0,3201.91,25.521228725847287,19.11904761904762,80.00617264982489,97.5719961543034,205.90966452920503,2
0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28.0,20399.82,1790.985,9,5,15,5.0,15,16.0,20.72,9.0,4531.3,30.74775975392271,19.11904761904762,64.30629889913274,180.88776040931683,223.9044406915504,2
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51.0,24771.94,2356.328333333333,3,6,17,3.0,27,12.0,16.77,3.0,238.37,36.01917286137873,19.11904761904762,58.45441760054048,33.59543896220961,393.58297677058334,2
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44.0,48052.7,4266.391666666666,4,5,17,2.0,12,19.0,11.89,4.0,346.41,25.36261333081265,19.11904761904762,59.89857017163269,115.86041322532888,500.880183269705,2
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,39.0,15707.85,1048.9875,4,4,13,1.0,16,10.0,7.59,8.0,1382.26,33.73718252711224,19.11904761904762,10.811389639578648,66.21064595701783,317.8767144034035,2
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23.0,130402.88,10187.66736378553,4,5,7,1.0,5,9.0,10.81,1.0,943.72,35.29654740162349,19.11904761904762,56.74073891535164,522.6915777727763,792.3583499785389,0
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25.0,48331.59,4141.6325,7,9,32,6.0,55,25.0,15.7,9.0,3465.91,25.49262341750316,19.11904761904762,162.82491120812878,522.0868689192089,19.25146987266237,2
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,39.0,58774.86,4796.905,7,6,17,7.0,35,18.0,-3.54,12.0,2083.26,31.65672043402666,19.11904761904762,290.944961713005,294.8536336532485,173.89190463374646,1
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.0,40896.9,3347.0750000000007,5,3,18,3.0,10,13.0,10.19,4.0,365.97,30.95044822168888,19.11904761904762,101.52166755929638,340.56566184112097,182.62017059958265,2
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.0,32297.67,2924.4725,6,5,2,4.0,26,13.0,5.64,4.0,1300.2,34.57047688446998,19.11904761904762,73.18943970474511,244.6758516973481,244.58195859790683,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37.0,67644.92,5465.076666666667,4,9,22,2.0,21,18.0,14.03,11.0,1402.56,29.34788109666254,19.11904761904762,102.78542376888257,184.89001069125905,508.8322322065252,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,39831.1,3454.258333333333,1,2,6,1.0,12,12.0,9.08,4.0,1.2,28.047027201951582,19.11904761904762,25.7980240980847,204.85905952778825,469.88186415590513,0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39.0,37840.64,2913.3866666666668,6,5,5,2.0,23,17.0,18.54,6.0,2641.91,40.74699673778271,19.11904761904762,60.68036049882516,44.07557029019968,436.5827358776419,2
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0,160057.96,13417.163333333332,4,4,1,1.0,4,11.0,1.78,2.0,322.27,37.85869990388614,19.11904761904762,80.66890710005656,1362.6357648653805,178.4116613678964,0
0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30.0,72116.25,5886.6875,4,7,9,2.0,22,13.0,5.06,3.0,243.75,25.39561305435821,19.11904761904762,76.87560725652268,406.2841208508143,375.50902189266304,2
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,51886.18,4454.848333333333,8,7,7,4.0,25,18.0,15.76,8.0,1390.84,29.53554307622485,19.11904761904762,155.65671244900733,57.135356279768246,472.6927646045578,2
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29.0,98035.14,7994.595,6,5,8,1.0,10,10.0,2.99,2.0,157.62,41.18668460457043,19.11904761904762,41.63640497848522,151.37269469493106,846.4504003265837,2
